Accession,Description,"Abundances (Grouped): F1, 126","Abundances (Grouped): F1, 127N","Abundances (Grouped): F1, 127C","Abundances (Grouped): F1, 128N","Abundances (Grouped): F1, 128C","Abundances (Grouped): F1, 129N","Abundances (Grouped): F1, 129C","Abundances (Grouped): F1, 130N","Abundances (Grouped): F1, 130C","Abundances (Grouped): F1, 131N","Abundances (Grouped): F1, 131C"
Q13813,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",164433171.3,112603245.5,181192681.7,182302598.9,159543175.1,113194599.3,122085980.4,140811333.3,115418722.4,132593410.9,183671180
Q13885,Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1,186939565.2,157975597.3,243677437.5,249415186,210316157.6,150146292.1,154596170.8,162831628,150723854.4,165722969.3,226083380.9
Q16555,Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1,170137022,132606771.5,207554217.1,201470951.8,178976735.6,126041239.4,136878399.8,146804229.7,122311766.8,132881747,216858082.8
Q9BVA1,Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1,46709.45581,61606.9292,75461.14746,108156.8174,75630.55225,65154.14063,50181.35742,78856.08984,68463.64746,78161.1958,70633.53223
P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,88251535.38,76772354.98,105652653,128839850.7,104991421.7,84176127.66,69679122.09,77155295.19,77117068.78,75598016.53,116187245.1
P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",121955635,107342509.8,149001228.7,193609910.3,139352195.7,107008534.7,94815516.6,112745501.1,97285696.97,112259128.7,160479800.3
P13637,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens OX=9606 GN=ATP1A3 PE=1 SV=3,60025092.05,38450156.06,63467872.46,60268247.7,52116898.76,32633019.2,41057233.32,38275180.72,37788854.85,37384023.35,57816142.1
P07437,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,40196258.07,34323771.39,49803231.9,61279295.31,45655011.38,39892562.82,30743253.33,45440361.69,28663864.37,34936736.18,62563134.98
P04350,Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2,154789329.8,127433926.9,179987553,154411059.5,165515030,132975473.2,131959664.5,164783331.7,104758841.1,138874669.9,224286016.8
Q71U36,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,307194770.9,272751566.9,413379085.7,389097909.6,346790227.7,252774939.9,248960564.7,274300553.7,242593470.7,288722798,377437456.4
P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,195962280.8,151391820.9,231243705.4,255509675.2,205322248.7,145749909.1,147477592.1,181134024.5,142182476.1,140643349.7,254029810.1
